"","EvseID","ChargingStationId","Accessibility","latitude","longitude","City","Country","PostalCode","Street","IsOpen24Hours","LastUpdate","DynamicInfoAvailable","DynamicPowerLevel","ChargingFacility_power","ChargingFacility_powertype"
"6438","CH*CCI*E20357","CH*CCI*E20357","Paying publicly accessible",47.398858,7.654121,"Bretzwil","CHE","4207","Kirchgasse 3",TRUE,NA,"true","",22,"AC_3_PHASE"
"6439","CH*CCI*E21207","CH*CCI*E21207","Paying publicly accessible",47.14067,8.1279,"Nottwil","CHE","6207","Guido A. Zäch Strasse 2e.2",TRUE,NA,"true","",22,"AC_3_PHASE"
"6440","CH*CCI*E21206","CH*CCI*E21206","Paying publicly accessible",47.14141,8.12936,"Nottwil","CHE","6207","Guido A. Zäch Strasse 1.2",TRUE,NA,"true","",22,"AC_3_PHASE"
"6441","CH*CCI*E21208","CH*CCI*E21208","Paying publicly accessible",47.14067,8.1279,"Nottwil","CHE","6207","Guido A. Zäch Strasse 2e.2",TRUE,NA,"true","",22,"AC_3_PHASE"
"6442","CH*CCI*E21681","CH*CCI*E21681","Paying publicly accessible",46.446593,6.297621,"Bursins","CHE","1183","La Côte/A1 nord",TRUE,NA,"true","",225,"DC"
"6443","CH*CCI*E20350","CH*CCI*E20350","Paying publicly accessible",47.286225,8.566286,"Thalwil","CHE","8800","Gewerbestrasse 22",TRUE,NA,"true","",22,"AC_3_PHASE"
"6444","CH*CCI*E21680","CH*CCI*E21680","Paying publicly accessible",46.446593,6.297621,"Bursins","CHE","1183","La Côte/A1 nord",TRUE,NA,"true","",225,"DC"
"6445","CH*CCI*E21683","CH*CCI*E21683","Paying publicly accessible",46.446593,6.297621,"Bursins","CHE","1183","La Côte/A1 nord",TRUE,NA,"true","",75,"DC"
"6446","CH*CCI*E20352","CH*CCI*E20352","Paying publicly accessible",47.09311,7.572529,"Kirchberg","CHE","3422","Industrie Neuhof 1a",TRUE,NA,"true","",50,"DC"
"6447","CH*CCI*E21682","CH*CCI*E21682","Paying publicly accessible",46.446593,6.297621,"Bursins","CHE","1183","La Côte/A1 nord",TRUE,NA,"true","",225,"DC"
"6448","CH*CCI*E20351","CH*CCI*E20351","Paying publicly accessible",47.09311,7.572529,"Kirchberg","CHE","3422","Industrie Neuhof 1a",TRUE,NA,"true","",22,"AC_3_PHASE"
